"name","color"
"ASPBay","#1e8ee3"
"hexbin","#ac7d0f"
"audiolyzR","#85cd8a"
"RJSONIO","#12724b"
"plotrix","#485a0b"
"BayLum","#38c4a7"
"coda","#8ac209"
"braQCA","#24e527"
"dplyr","#39f465"
"QCA","#6f7545"
"bootstrap","#c74bc5"
"CopulaREMADA","#1c4ae8"
"tensor","#7ca34f"
"fast","#f32b84"
"zoo","#365967"
"flippant","#bbe736"
"ggplot2","#c71445"
"lorentz","#77ae83"
"magrittr","#b462f2"
"memery","#14d256"
"showtext","#d8475f"
"pitchRx","#89fe13"
"PTAk","#cb5444"
"roprov","#28d426"
"fastdigest","#cfbd0e"
"SetMethods","#90492a"
"setter","#9cf65d"
"assertive.base","#388eb6"
"sysfonts","#98d3a8"
"showtextdb","#ea8602"
"somplot","#a50a0e"
"SOUP","#43a49d"
"tiger","#b31145"
"e1071","#34f387"
"qualV","#48160f"
"klaR","#286e9e"
"som","#76e3b0"
"trackr","#c45cd9"
"histry","#f986c4"
"wasim","#434da0"
"abstractr","#47c124"
"emojifont","#875832"
"anomaly","#65a448"
"assertive","#fd1099"
"assertive.properties","#77af8a"
"assertive.types","#c26713"
"assertive.numbers","#3fb152"
"assertive.strings","#202fb9"
"assertive.datetimes","#1dcc05"
"assertive.files","#c4025d"
"assertive.sets","#615f3b"
"assertive.matrices","#0ce56d"
"assertive.models","#310dcf"
"assertive.data","#7f90a4"
"assertive.data.uk","#28d840"
"assertive.data.us","#746afa"
"assertive.reflection","#a72577"
"assertive.code","#290262"
"knitr","#c1df2e"
"stringi","#830003"
"autocogs","#042ec1"
"AutoModel","#7d8cdd"
"rowr","#83a32c"
"BaM","#8703c3"
"dlm","#1d3170"
"base2grob","#63353b"
"ggplotify","#9b711a"
"rjags","#b94bf8"
"Luminescence","#20b0e6"
"ArchaeoPhases","#d8fa43"
"bmotif","#f9179a"
"changepoint.mv","#a9872c"
"CodeDepends","#c87953"
"graph","#e634d0"
"XML","#1dd78f"
"CrossClustering","#58316c"
"DAISIE","#1895a5"
"datadr","#f8fd52"
"dbfaker","#70d76e"
"DDIwR","#d8a2ac"
"admisc","#69b794"
"dr4pl","#d89b17"
"matrixcalc","#bf50e2"
"Rdpack","#9cfe78"
"DTSg","#b95c28"
"data.table","#6d13cb"
"R6","#e95c53"
"ElastH","#238a45"
"proto","#3266fe"
"eoffice","#74cb95"
"fDMA","#6692d4"
"MSwM","#71c082"
"fic","#8e8b8b"
"minpack.lm","#c1b955"
"plyr","#0fc971"
"RcppRoll","#e03918"
"withr","#4c2a18"
"wmtsa","#85530b"
"ggimage","#d21403"
"ggplot.multistats","#b1d965"
"rlang","#700dc7"
"scales","#5cf466"
"gridGraphics","#c7a652"
"rvcheck","#6acc91"
"gpuR","#19d603"
"Rcpp","#e827b7"
"hds","#92db31"
"hexSticker","#0325d8"
"hextri","#7bbfbf"
"FNN","#31e832"
"evaluate","#077b19"
"IMWatson","#f9e44d"
"lingtypology","#6bd11c"
"leaflet","#1992a6"
"leaflet.minicharts","#eaf80d"
"stringdist","#3646d3"
"emulator","#c2519f"
"makeParallel","#f9fbca"
"whisker","#2f6805"
"matrixpls","#98e6c3"
"mbgraphic","#92b35f"
"meme","#2946fa"
"magick","#7e9f93"
"multiDimBio","#6df9de"
"lme4","#affaee"
"pcaMethods","#51d885"
"misc3d","#3d4515"
"RColorBrewer","#555e67"
"multipanelfigure","#00b51b"
"gtable","#024939"
"NEArender","#284eb5"
"ROCR","#36e21b"
"NTS","#fcf9ef"
"openair","#52e604"
"PhyInformR","#516b8a"
"XML2R","#4f84c4"
"plotluck","#38ab75"
"plotly","#28fa44"
"poio","#a8d88c"
"shiny","#0a03b2"
"venn","#178b1f"
"QCAtools","#e32f19"
"stringr","#33d73e"
"directlabels","#471cae"
"R2SWF","#358333"
"Radviz","#24103b"
"gridBase","#64d3ca"
"rasterVis","#a0b35d"
"rbokeh","#addf91"
"rdrop2","#1f02ae"
"reproducible","#32873f"
"igraph","#442a9a"
"runittotestthat","#49dd47"
"RUnit","#907eb9"
"sigQC","#647c20"
"som.nn","#975c3d"
"SpaDES.core","#a9614c"
"SpatialBall","#45b372"
"spatstat","#cc2a1a"
"spatstat.local","#2c5941"
"tensorBF","#fd79cc"
"tensorBSS","#540883"
"tensorr","#5635e7"
"purrr","#061942"
"TestDimorph","#477473"
"timma","#351f16"
"TPMplt","#e794a7"
"VBTree","#45bc35"
"rgl","#2e2e3c"
"rsolr","#84de43"
"htmltools","#e43996"
"miniUI","#c6a600"
"rmarkdown","#746f53"
"ttTensor","#71cd93"
"rTensor","#91dee8"
"tensorA","#d3b91e"
"RcppEigen","#c8da36"
"RViennaCL","#7557b8"
"BH","#7f6724"
